id	source	owner	field	influence	lifetime	storage	bound	category	admission	failure	release	status	tests
core.session.sites	crates/dustnet-core/src/session.rs	SessionStore	sites	remote	process	retained	MAX_TOTAL_SESSIONS nonempty origin buckets	none	fallible Vec reserve plus hard site and total bounds; production lifetime accounting is owned by GovernedSessionStore	allocation rejection preserves entries and never creates an empty bucket	clear or store drop	bounded	retained_capacity_counts_every_nested_owner_and_fallible_clone
core.session.tokens	crates/dustnet-core/src/session.rs	SiteSessionStore	tokens	remote	process	retained	MAX_SESSIONS_PER_SITE and MAX_TOTAL_SESSIONS globally	none	fallible Vec and string construction under fixed semantic bounds; production lifetime accounting is owned by GovernedSessionStore	allocation rejection preserves the prior token set and eviction order	clear replacement eviction or store drop	bounded	per_site_limit
scanner.chars	crates/dustnet-core/src/scanner/mod.rs	Scanner	chars	remote	operation	retained	at most MAX_INPUT_SIZE Unicode scalar values	none	sanitized input and exact char backing are reserved fallibly before scanner publication	allocator rejection returns ScanError without publishing a partial scanner	tokenization completion or scanner drop	bounded	scanner_allocation_rejection_is_recoverable_at_every_site
transient.scanner_sanitized	crates/dustnet-core/src/scanner/mod.rs	Scanner::new	scratch	remote	operation	transient	MAX_INPUT_SIZE bytes	none	the sanitizer destination reserves the complete input-byte ceiling fallibly before filtering and then transfers into exact char backing	allocator rejection drops the unpublished scratch and returns ScanError	Scanner construction completion or rejection	bounded	scanner_allocation_rejection_is_recoverable_at_every_site
transient.scanner_tokens	crates/dustnet-core/src/scanner/mod.rs	Scanner::scan_all	result	remote	operation	transient	MAX_TOKEN_COUNT plus EOF with per-token text and attribute semantic bounds	none	complete token topology and every nested name value text and attribute owner grow only through checked fallible reserve sites	allocator rejection drops the partial disposable token stream and returns ScanError	parser transfer or drop	bounded	scanner_allocation_rejection_is_recoverable_at_every_site
parser.tokens	crates/dustnet-core/src/parser/mod.rs	Parser	tokens	remote	operation	retained	MAX_TOKEN_COUNT plus EOF and scanner-enforced nested payload bounds	none	the complete fallibly constructed scanner token stream moves into the parser without copying	parser allocation rejection suppresses the candidate Document and preserves only disposable bounded state	parse completion or parser drop	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
parser.diagnostics	crates/dustnet-core/src/parser/mod.rs	Parser	diagnostics	remote	operation	retained	at most parser element and validation bounds with bounded messages	none	each message and diagnostic row grows through checked fallible formatting and collection reserve	allocation rejection sets resource_exhausted and publishes no Document	ParseResult transfer or parser drop	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
component_def.name	crates/dustnet-core/src/parser/components.rs	ComponentDef	name	remote	operation	retained	one scanner-bounded component name within MAX_DEFS	none	fallible exact copy into a disposable expansion definition	allocation rejection suppresses the parsed candidate	expansion completion or rejection	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
component_def.attrs	crates/dustnet-core/src/parser/components.rs	ComponentDef	attrs	remote	operation	retained	scanner-bounded definition attribute list within MAX_DEFS	none	every topology row name and default string uses checked fallible reserve	allocation rejection drops the partial definition and suppresses the parsed candidate	expansion completion or rejection	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
component_def.slots	crates/dustnet-core/src/parser/components.rs	ComponentDef	slots	remote	operation	retained	scanner-bounded slot list within MAX_DEFS	none	every slot string and topology row uses checked fallible reserve	allocation rejection drops the partial definition and suppresses the parsed candidate	expansion completion or rejection	bounded	parser_allocation_rejection_discards_every_candidate_phase_and_retries
